#OTU ID	A01xL20N169	A02xL20N231	A03xP20N037	A04xP20N054	A05xP20N094	A06xL20N139	A07xL20N023	A07xL20N147	A08xB12	A08xL20N209	A09xL20N064	A09xL20N253	A10xL20N093	A10xL20N271	A11xB13	A11xL20N296	A12xL19N014aANML	A12xL20N149	B01xL20N170	B02xL20N232	B03xP20N038	B04xP20N055	B05xP20N095	B06xL20N140	B07xL20N024	B07xL20N183	B08xL20N034	B08xL20N210	B09xL20N065	B09xL20N254	B10xL20N118	B10xL20N272	B11xL20N125	B11xL20N297	B12xL20N150	B12xP19N068ANML	C01xL20N222	C02xB15	C03xP20N039	C04xP20N060	C05xP20N096	C06xL20N141	C07xL20N025	C07xL20N184	C08xL20N035	C08xL20N211	C09xL20N066	C09xL20N255	C10xL20N119	C10xL20N273	C11xL20N134	C11xL20N298	C12xL20N151	C12xP19N309ANML	D01xL20N223	D02xL20N233	D03xP20N046	D04xP20N071	D05xB1	D06xL20N142	D07xL20N026	D07xL20N185	D08xL20N036	D08xL20N226	D09xL20N067	D09xL20N256	D10xL20N120	D10xL20N274	D11xL20N103ANML	D11xL20N135	D12xL20N152	D12xP19N281ANML	E01xL20N224	E02xP20N013	E03xP20N047	E04xP20N072	E05xP20N097	E06xL20N143	E07xL20N027	E07xL20N186	E08xL20N037	E08xL20N227	E09xL20N089	E09xL20N257	E10xB16	E10xL20N121	E11xL20N136	E11xL20N220ANML	E12xL20N166	E12xP19N465ANML	F01xL20N225	F02xP20N020	F03xP20N048	F04xP20N073	F05xP20N102	F06xL20N144	F07xL20N031	F07xL20N187	F08xL20N038	F08xL20N228	F09xL20N090	F09xL20N258	F10xL20N122	F10xL20N293	F11xL20N137	F11xL20N246ANML	F12xL20N167	F12xP20N054ANML	G01xL20N229	G02xP20N021	G03xP20N049	G04xP20N078	G05xP20N103	G06xL20N145	G06xL20N299	G07xL20N032	G07xL20N207	G08xL20N039	G08xL20N251	G09xL20N091	G09xL20N259	G10xL20N123	G10xL20N294	G11xL20N138	G11xL20N289ANML	G12xL20N168	G12xP20N181ANML	H01xL20N230	H02xP20N036	H03xP20N053	H04xP20N082	H05xP20N120	H06xL20N146	H06xL20N300	H07xL20N033	H07xL20N208	H08xL20N063	H08xL20N252	H09xL20N092	H09xL20N270	H10xL20N124	H10xL20N295	H11xL20N148	H11xL20N187ANML	H12xB14	H12xL20N005ANML
OTU102	0	0	0	0	0	0	0	0	0	0	1350	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	1	0	0	142	0	2	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	344	0	0	0	0	0	0	0	9	15	0	0	0	0	0	1	0	6	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0
OTU1020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1023	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	13	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0
OTU1025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0
OTU1026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
